,date,SPX
2521,1980-03-17,102.26000213623047
2522,1980-03-18,104.0999984741211
2523,1980-03-19,104.30999755859375
2524,1980-03-20,103.12000274658203
2525,1980-03-21,102.30999755859375
2526,1980-03-24,99.27999877929688
2527,1980-03-25,99.19000244140625
2528,1980-03-26,98.68000030517578
2529,1980-03-27,98.22000122070312
2530,1980-03-28,100.68000030517578
2531,1980-03-31,102.08999633789062
2532,1980-04-01,102.18000030517578
2533,1980-04-02,102.68000030517578
2534,1980-04-03,102.1500015258789
2535,1980-04-07,100.19000244140625
2536,1980-04-08,101.19999694824219
2537,1980-04-09,103.11000061035156
2538,1980-04-10,104.08000183105469
2539,1980-04-11,103.79000091552734
2540,1980-04-14,102.83999633789062
2541,1980-04-15,102.62999725341797
2542,1980-04-16,101.54000091552734
2543,1980-04-17,101.05000305175781
2544,1980-04-18,100.55000305175781
2545,1980-04-21,99.80000305175781
2546,1980-04-22,103.43000030517578
2547,1980-04-23,103.7300033569336
2548,1980-04-24,104.4000015258789
2549,1980-04-25,105.16000366210938
2550,1980-04-28,105.63999938964844
2551,1980-04-29,105.86000061035156
2552,1980-04-30,106.29000091552734
2553,1980-05-01,105.45999908447266
2554,1980-05-02,105.58000183105469
2555,1980-05-05,106.37999725341797
2556,1980-05-06,106.25
2557,1980-05-07,107.18000030517578
2558,1980-05-08,106.12999725341797
2559,1980-05-09,104.72000122070312
2560,1980-05-12,104.77999877929688
2561,1980-05-13,106.30000305175781
2562,1980-05-14,106.8499984741211
2563,1980-05-15,106.98999786376953
2564,1980-05-16,107.3499984741211
2565,1980-05-19,107.66999816894531
2566,1980-05-20,107.62000274658203
2567,1980-05-21,107.72000122070312
2568,1980-05-22,109.01000213623047
2569,1980-05-23,110.62000274658203
2570,1980-05-27,111.4000015258789
2571,1980-05-28,112.05999755859375
2572,1980-05-29,110.2699966430664
2573,1980-05-30,111.23999786376953
2574,1980-06-02,110.76000213623047
2575,1980-06-03,110.51000213623047
2576,1980-06-04,112.61000061035156
2577,1980-06-05,112.77999877929688
2578,1980-06-06,113.19999694824219
2579,1980-06-09,113.70999908447266
2580,1980-06-10,114.66000366210938
2581,1980-06-11,116.0199966430664
2582,1980-06-12,115.5199966430664
2583,1980-06-13,115.80999755859375
2584,1980-06-16,116.08999633789062
2585,1980-06-17,116.02999877929688
2586,1980-06-18,116.26000213623047
2587,1980-06-19,114.66000366210938
2588,1980-06-20,114.05999755859375
2589,1980-06-23,114.51000213623047
2590,1980-06-24,115.13999938964844
2591,1980-06-25,116.72000122070312
2592,1980-06-26,116.19000244140625
2593,1980-06-27,116.0
2594,1980-06-30,114.23999786376953
2595,1980-07-01,114.93000030517578
2596,1980-07-02,115.68000030517578
2597,1980-07-03,117.45999908447266
2598,1980-07-07,118.29000091552734
2599,1980-07-08,117.83999633789062
2600,1980-07-09,117.9800033569336
2601,1980-07-10,116.94999694824219
2602,1980-07-11,117.83999633789062
2603,1980-07-14,120.01000213623047
2604,1980-07-15,119.30000305175781
2605,1980-07-16,119.62999725341797
2606,1980-07-17,121.44000244140625
2607,1980-07-18,122.04000091552734
2608,1980-07-21,122.51000213623047
2609,1980-07-22,122.19000244140625
2610,1980-07-23,121.93000030517578
2611,1980-07-24,121.79000091552734
2612,1980-07-25,120.77999877929688
2613,1980-07-28,121.43000030517578
2614,1980-07-29,122.4000015258789
2615,1980-07-30,122.2300033569336
2616,1980-07-31,121.66999816894531
2617,1980-08-01,121.20999908447266
2618,1980-08-04,120.9800033569336
2619,1980-08-05,120.73999786376953
2620,1980-08-06,121.55000305175781
2621,1980-08-07,123.30000305175781
2622,1980-08-08,123.61000061035156
2623,1980-08-11,124.77999877929688
2624,1980-08-12,123.79000091552734
2625,1980-08-13,123.27999877929688
2626,1980-08-14,125.25
2627,1980-08-15,125.72000122070312
2628,1980-08-18,123.38999938964844
2629,1980-08-19,122.5999984741211
2630,1980-08-20,123.7699966430664
2631,1980-08-21,125.45999908447266
2632,1980-08-22,126.0199966430664
2633,1980-08-25,125.16000366210938
2634,1980-08-26,124.83999633789062
2635,1980-08-27,123.5199966430664
2636,1980-08-28,122.08000183105469
2637,1980-08-29,122.37999725341797
2638,1980-09-02,123.73999786376953
2639,1980-09-03,126.12000274658203
2640,1980-09-04,125.41999816894531
2641,1980-09-05,124.87999725341797
2642,1980-09-08,123.30999755859375
2643,1980-09-09,124.06999969482422
2644,1980-09-10,124.80999755859375
2645,1980-09-11,125.66000366210938
2646,1980-09-12,125.54000091552734
2647,1980-09-15,125.66999816894531
2648,1980-09-16,126.73999786376953
2649,1980-09-17,128.8699951171875
2650,1980-09-18,128.39999389648438
